
[2] Neutron Bomb
  99.36% | -600 ms | vs [13] Saturday Night Special
  48.84% | 8100 ms | vs [58] Wild Horses
  38.69% | 10000 ms | vs [21] Peace Out
  36.44% | 2900 ms | vs [26] Color Storm
  33.96% | 600 ms | vs [23] City Crasher
  33.00% | 4600 ms | vs [3] Occupy Mars
  32.49% | 6200 ms | vs [52] Flourescent
  32.12% | 6500 ms | vs [22] Colorful Whirlwind
  31.82% | 6200 ms | vs [46] Azura Burst
  31.72% | 8100 ms | vs [12] Ion Blaster
  27.94% | -1300 ms | vs [47] Azurallure
  27.78% | 6700 ms | vs [48] Howling Nishiki
  27.78% | 8900 ms | vs [56] Thirsty Thursday
  27.26% | 7400 ms | vs [20] Hot Hot Hot
  27.15% | 7600 ms | vs [18] Hit the Road, Jack
  26.41% | 5100 ms | vs [16] Strobing Willow
  25.00% | 9600 ms | vs [17] Deep Ocean
  23.14% | 5400 ms | vs [15] Super Crackle Rainbow
  22.22% | 6100 ms | vs [1] Turn it Loose
  22.22% | 6900 ms | vs [14] Star Chaser
  22.22% | 9400 ms | vs [30] Breakthrough
  22.08% | -100 ms | vs [32] Evil Priest
  21.83% | 3600 ms | vs [24] Silver Screen
  21.77% | 8300 ms | vs [29] Christmas Eve
  21.63% | 9000 ms | vs [57] Colorful Skies
  21.10% | 9900 ms | vs [59] Big Color
  20.68% | 1500 ms | vs [28] Courageous!
  20.06% | 8300 ms | vs [54] Blue Jacket
  17.49% | 9400 ms | vs [19] High Falutin
  16.67% | -3800 ms | vs [31] Naughty or Nice
  16.67% | 4000 ms | vs [53] MOAB 9S
  16.67% | -10000 ms | vs [49] No Way!
  16.03% | -10000 ms | vs [11] Fiesta 99
  9.09% | -7600 ms | vs [51] 3 Minute Mayhem
  0.00% | 0 ms | vs [4] Be All & End All

[13] Saturday Night Special
  99.36% | 600 ms | vs [2] Neutron Bomb
  49.92% | 8700 ms | vs [58] Wild Horses
  37.94% | 3500 ms | vs [26] Color Storm
  35.29% | 1200 ms | vs [23] City Crasher
  33.33% | 8600 ms | vs [21] Peace Out
  33.05% | 5200 ms | vs [3] Occupy Mars
  32.73% | 8700 ms | vs [12] Ion Blaster
  32.66% | 6800 ms | vs [52] Flourescent
  31.88% | 4700 ms | vs [22] Colorful Whirlwind
  27.78% | 7300 ms | vs [48] Howling Nishiki
  27.48% | -700 ms | vs [47] Azurallure
  27.42% | 8000 ms | vs [20] Hot Hot Hot
  27.21% | 6400 ms | vs [56] Thirsty Thursday
  27.16% | 5700 ms | vs [16] Strobing Willow
  27.04% | 8200 ms | vs [18] Hit the Road, Jack
  26.25% | 6800 ms | vs [46] Azura Burst
  23.75% | -6800 ms | vs [17] Deep Ocean
  22.22% | 7500 ms | vs [14] Star Chaser
  22.22% | 10000 ms | vs [30] Breakthrough
  22.09% | 500 ms | vs [32] Evil Priest
  21.85% | 8900 ms | vs [29] Christmas Eve
  21.75% | -4700 ms | vs [24] Silver Screen
  21.11% | 6800 ms | vs [1] Turn it Loose
  20.02% | 8900 ms | vs [54] Blue Jacket
  19.05% | 2900 ms | vs [15] Super Crackle Rainbow
  16.67% | -9500 ms | vs [11] Fiesta 99
  16.67% | -3200 ms | vs [31] Naughty or Nice
  16.67% | 4600 ms | vs [53] MOAB 9S
  16.67% | 1000 ms | vs [57] Colorful Skies
  16.67% | 3200 ms | vs [59] Big Color
  16.67% | -9400 ms | vs [49] No Way!
  15.66% | -1600 ms | vs [28] Courageous!
  14.93% | 10000 ms | vs [19] High Falutin
  9.09% | -7000 ms | vs [51] 3 Minute Mayhem
  0.00% | 0 ms | vs [4] Be All & End All

[30] Breakthrough
  63.64% | -400 ms | vs [46] Azura Burst
  45.66% | 300 ms | vs [21] Peace Out
  44.44% | -3700 ms | vs [3] Occupy Mars
  44.44% | 400 ms | vs [14] Star Chaser
  44.44% | 800 ms | vs [29] Christmas Eve
  44.44% | 1100 ms | vs [54] Blue Jacket
  44.44% | -700 ms | vs [57] Colorful Skies
  44.38% | 1400 ms | vs [59] Big Color
  41.67% | -7100 ms | vs [52] Flourescent
  40.00% | 4000 ms | vs [16] Strobing Willow
  40.00% | 1400 ms | vs [28] Courageous!
  38.36% | -1600 ms | vs [20] Hot Hot Hot
  35.71% | -2600 ms | vs [12] Ion Blaster
  33.33% | -3200 ms | vs [1] Turn it Loose
  33.33% | -7800 ms | vs [24] Silver Screen
  33.33% | 2100 ms | vs [48] Howling Nishiki
  33.33% | -4400 ms | vs [53] MOAB 9S
  31.25% | -400 ms | vs [26] Color Storm
  30.00% | -6400 ms | vs [56] Thirsty Thursday
  27.78% | -1100 ms | vs [58] Wild Horses
  27.27% | 2300 ms | vs [23] City Crasher
  26.67% | -100 ms | vs [22] Colorful Whirlwind
  24.27% | 400 ms | vs [17] Deep Ocean
  23.81% | -4200 ms | vs [15] Super Crackle Rainbow
  22.73% | -9200 ms | vs [18] Hit the Road, Jack
  22.22% | -9400 ms | vs [2] Neutron Bomb
  22.22% | -10000 ms | vs [13] Saturday Night Special
  18.18% | -8200 ms | vs [31] Naughty or Nice
  14.29% | -9000 ms | vs [47] Azurallure
  13.33% | 4000 ms | vs [11] Fiesta 99
  12.86% | -1700 ms | vs [19] High Falutin
  8.33% | -8800 ms | vs [32] Evil Priest
  5.65% | -9900 ms | vs [51] 3 Minute Mayhem
  0.00% | 0 ms | vs [4] Be All & End All
  0.00% | 0 ms | vs [49] No Way!

[46] Azura Burst
  63.64% | 400 ms | vs [30] Breakthrough
  46.30% | 300 ms | vs [22] Colorful Whirlwind
  45.45% | -1800 ms | vs [54] Blue Jacket
  45.45% | -300 ms | vs [57] Colorful Skies
  45.45% | 8500 ms | vs [59] Big Color
  45.27% | 4300 ms | vs [16] Strobing Willow
  44.35% | -3200 ms | vs [3] Occupy Mars
  43.44% | 1900 ms | vs [28] Courageous!
  40.57% | -6500 ms | vs [52] Flourescent
  38.46% | -1200 ms | vs [20] Hot Hot Hot
  38.46% | 700 ms | vs [21] Peace Out
  37.29% | -7200 ms | vs [26] Color Storm
  36.36% | 600 ms | vs [29] Christmas Eve
  36.23% | 900 ms | vs [56] Thirsty Thursday
  36.23% | -2800 ms | vs [14] Star Chaser
  35.48% | -10000 ms | vs [12] Ion Blaster
  33.33% | 4700 ms | vs [1] Turn it Loose
  33.33% | -2500 ms | vs [58] Wild Horses
  31.82% | -6200 ms | vs [2] Neutron Bomb
  28.57% | 800 ms | vs [15] Super Crackle Rainbow
  27.27% | 2700 ms | vs [48] Howling Nishiki
  27.27% | 400 ms | vs [53] MOAB 9S
  27.26% | -800 ms | vs [23] City Crasher
  26.52% | -8700 ms | vs [18] Hit the Road, Jack
  26.25% | -6800 ms | vs [13] Saturday Night Special
  20.67% | -4700 ms | vs [17] Deep Ocean
  19.04% | -4100 ms | vs [47] Azurallure
  18.18% | -3300 ms | vs [24] Silver Screen
  18.18% | -4600 ms | vs [31] Naughty or Nice
  16.67% | -6900 ms | vs [32] Evil Priest
  15.79% | 0 ms | vs [19] High Falutin
  12.65% | 4400 ms | vs [11] Fiesta 99
  7.75% | -7200 ms | vs [51] 3 Minute Mayhem
  0.00% | 0 ms | vs [4] Be All & End All
  0.00% | 0 ms | vs [49] No Way!

[57] Colorful Skies
  55.56% | 2100 ms | vs [59] Big Color
  45.45% | 300 ms | vs [46] Azura Burst
  44.44% | -2900 ms | vs [3] Occupy Mars
  44.44% | 700 ms | vs [30] Breakthrough
  39.61% | 1200 ms | vs [16] Strobing Willow
  38.46% | 1000 ms | vs [21] Peace Out
  37.50% | 9200 ms | vs [29] Christmas Eve
  37.50% | -5100 ms | vs [48] Howling Nishiki
  37.50% | 1900 ms | vs [54] Blue Jacket
  36.46% | -8500 ms | vs [53] MOAB 9S
  35.71% | -6600 ms | vs [12] Ion Blaster
  33.33% | -900 ms | vs [14] Star Chaser
  33.33% | -6200 ms | vs [52] Flourescent
  30.77% | -3000 ms | vs [20] Hot Hot Hot
  30.00% | 7900 ms | vs [28] Courageous!
  30.00% | -3700 ms | vs [56] Thirsty Thursday
  27.74% | -2300 ms | vs [58] Wild Horses
  26.67% | 3900 ms | vs [22] Colorful Whirlwind
  25.00% | -4500 ms | vs [1] Turn it Loose
  25.00% | -5700 ms | vs [24] Silver Screen
  25.00% | -1100 ms | vs [26] Color Storm
  22.58% | -8700 ms | vs [23] City Crasher
  21.63% | -9000 ms | vs [2] Neutron Bomb
  19.05% | -8400 ms | vs [15] Super Crackle Rainbow
  18.18% | -9500 ms | vs [31] Naughty or Nice
  17.56% | -2900 ms | vs [18] Hit the Road, Jack
  16.67% | -1000 ms | vs [13] Saturday Night Special
  16.67% | -8900 ms | vs [17] Deep Ocean
  14.29% | 900 ms | vs [47] Azurallure
  10.53% | 6000 ms | vs [19] High Falutin
  8.33% | -6700 ms | vs [32] Evil Priest
  6.67% | 8800 ms | vs [11] Fiesta 99
  4.51% | -900 ms | vs [51] 3 Minute Mayhem
  0.00% | 0 ms | vs [4] Be All & End All
  0.00% | 0 ms | vs [49] No Way!

[59] Big Color
  55.56% | -2100 ms | vs [57] Colorful Skies
  45.45% | -8500 ms | vs [46] Azura Burst
  44.38% | -1400 ms | vs [30] Breakthrough
  44.00% | 4400 ms | vs [29] Christmas Eve
